,date,btc_price,eth_price,ltc_price,doge_price,dash_price,xmr_price,xrp_price
31,2019-02-28,3833.0,136.84,45.769,0.00194,81.493,48.361,0.316
32,2019-02-27,3819.0,136.62,44.884,0.00197,80.414,48.105,0.319
33,2019-02-26,3823.0,136.88,45.098,0.00198,81.43,48.1,0.323
34,2019-02-25,3822.0,138.7,45.07,0.00198,81.815,48.44,0.309
35,2019-02-24,4020.0,154.091,49.202,0.00204,87.178,52.329,0.304
36,2019-02-23,4006.0,150.915,49.554,0.00205,86.072,51.774,0.319
37,2019-02-22,3958.0,147.482,49.228,0.00203,85.211,50.857,0.321
38,2019-02-21,3942.0,145.791,49.37,0.00204,85.022,50.32,0.323
39,2019-02-20,3943.0,145.404,49.518,0.00205,85.863,51.113,0.328
40,2019-02-19,3935.0,147.256,47.846,0.00207,87.318,51.931,0.338
41,2019-02-18,3796.0,141.388,45.818,0.00204,82.418,49.506,0.316
42,2019-02-17,3620.0,126.224,43.37,0.002,78.53,46.708,0.3
43,2019-02-16,3617.0,122.815,43.455,0.00191,79.017,47.206,0.303
44,2019-02-15,3601.0,121.848,42.089,0.00189,78.206,47.12,0.3
45,2019-02-14,3601.0,122.125,41.457,0.00189,78.819,47.559,0.304
46,2019-02-13,3617.0,122.62,42.67,0.00189,80.968,49.281,0.303
47,2019-02-12,3611.0,120.728,43.318,0.00187,81.666,47.952,0.301
48,2019-02-11,3637.0,121.136,43.806,0.00188,78.174,47.799,0.306
49,2019-02-10,3645.0,118.598,44.533,0.0019,73.36,47.952,0.304
50,2019-02-09,3650.0,119.015,43.793,0.00191,74.223,48.078,0.308
51,2019-02-08,3481.0,110.199,37.441,0.00186,69.151,45.268,0.301
52,2019-02-07,3392.0,104.614,33.081,0.00181,66.276,43.184,0.294
53,2019-02-06,3400.0,103.437,32.702,0.00182,65.936,42.607,0.293
54,2019-02-05,3446.0,106.849,34.004,0.00187,67.212,42.885,0.298
55,2019-02-04,3442.0,107.14,33.757,0.00188,66.427,42.478,0.301
56,2019-02-03,3454.0,108.197,33.773,0.0019,66.623,42.894,0.304
57,2019-02-02,3459.0,107.304,33.012,0.00191,66.593,43.158,0.306
58,2019-02-01,3455.0,106.614,32.303,0.0019,67.024,43.516,0.308
59,2019-01-31,3459.0,108.037,31.664,0.00191,68.012,43.698,0.311
60,2019-01-30,3464.0,107.303,31.447,0.0019,67.847,43.774,0.316
61,2019-01-29,3432.0,105.267,30.928,0.00189,67.358,43.368,0.292
62,2019-01-28,3474.0,106.711,31.034,0.00193,67.368,44.148,0.287
63,2019-01-27,3578.0,114.997,32.73,0.00201,71.586,45.801,0.31
64,2019-01-26,3601.0,116.77,33.285,0.00202,73.32,45.987,0.317
65,2019-01-25,3580.0,116.484,32.562,0.00202,73.206,45.839,0.316
66,2019-01-24,3576.0,116.778,31.957,0.00201,72.039,45.541,0.317
67,2019-01-23,3592.0,118.474,31.879,0.00202,71.745,45.435,0.318
68,2019-01-22,3573.0,117.819,31.221,0.00204,70.152,45.332,0.32
69,2019-01-21,3558.0,117.306,30.923,0.00205,68.922,44.05,0.32
70,2019-01-20,3638.0,121.361,31.845,0.00209,70.698,44.89,0.321
71,2019-01-19,3689.0,123.553,32.029,0.00208,72.159,45.68,0.331
72,2019-01-18,3637.0,121.682,31.21,0.00207,70.992,45.08,0.326
73,2019-01-17,3623.0,121.923,31.031,0.00208,70.698,45.372,0.328
74,2019-01-16,3626.0,122.689,31.363,0.00207,70.67,45.205,0.331
75,2019-01-15,3661.0,127.336,31.935,0.00209,71.087,45.585,0.33
76,2019-01-14,3604.0,122.009,31.068,0.00209,71.193,44.263,0.331
77,2019-01-13,3600.0,122.19,31.688,0.00209,71.651,44.285,0.331
78,2019-01-12,3648.0,126.634,32.087,0.0021,73.048,45.039,0.33
79,2019-01-11,3662.0,127.396,32.933,0.00211,73.313,45.711,0.335
80,2019-01-10,3825.0,136.803,35.454,0.00216,77.455,48.093,0.343
81,2019-01-09,4036.0,152.211,39.405,0.00225,83.573,53.355,0.366
82,2019-01-08,4031.0,151.113,39.201,0.00225,82.072,53.311,0.371
83,2019-01-07,4052.0,154.772,38.445,0.00228,84.194,53.384,0.367
84,2019-01-06,3925.0,155.829,37.398,0.00229,82.137,51.555,0.358
85,2019-01-05,3861.0,159.119,34.172,0.00228,80.675,50.585,0.36
86,2019-01-04,3821.0,152.948,32.012,0.00228,80.501,50.1,0.353
87,2019-01-03,3874.0,152.232,32.321,0.00236,82.645,50.743,0.364
88,2019-01-02,3865.0,149.513,32.461,0.00239,82.473,50.139,0.368
89,2019-01-01,3744.0,136.343,30.65,0.00235,78.924,46.273,0.353
90,2018-12-31,3804.0,137.043,30.943,0.00236,80.948,47.439,0.359
91,2018-12-30,3835.0,138.414,31.639,0.00237,81.712,48.095,0.367
92,2018-12-29,3915.0,139.101,32.235,0.00239,82.699,49.136,0.375
93,2018-12-28,3746.0,124.293,29.979,0.00235,79.041,47.336,0.362
94,2018-12-27,3766.0,125.008,29.632,0.00238,80.327,46.92,0.364
95,2018-12-26,3833.0,131.842,30.913,0.00244,83.987,49.706,0.368
96,2018-12-25,3829.0,130.099,31.05,0.00242,83.306,50.169,0.372
97,2018-12-24,4175.0,147.378,35.275,0.00259,96.154,57.063,0.434
98,2018-12-23,4039.0,130.171,33.178,0.00253,89.781,53.806,0.367
99,2018-12-22,3919.0,112.105,30.948,0.00245,87.004,51.274,0.355
100,2018-12-21,4034.0,114.237,31.677,0.00261,90.771,53.403,0.369
101,2018-12-20,3984.0,109.127,31.196,0.00267,81.209,50.296,0.373
102,2018-12-19,3813.0,104.493,30.593,0.00269,77.519,48.395,0.375
103,2018-12-18,3575.0,95.574,29.14,0.00257,70.915,44.378,0.334
104,2018-12-17,3417.0,90.414,28.037,0.00223,67.619,41.951,0.303
105,2018-12-16,3298.0,87.252,26.082,0.00213,64.062,40.191,0.291
106,2018-12-15,3256.0,84.6,23.872,0.00209,60.056,38.866,0.283
107,2018-12-14,3302.0,86.052,23.44,0.00208,60.448,41.639,0.294
108,2018-12-13,3433.0,89.755,24.123,0.0021,63.908,42.886,0.304
109,2018-12-12,3483.0,90.69,24.652,0.00211,66.09,43.996,0.309
110,2018-12-11,3459.0,90.017,24.22,0.0021,66.917,43.63,0.298
111,2018-12-10,3554.0,92.799,25.142,0.00212,71.299,46.164,0.305
112,2018-12-09,3561.0,94.24,25.864,0.00213,71.94,47.028,0.314
113,2018-12-08,3449.0,91.506,25.003,0.00213,67.749,46.675,0.3
114,2018-12-07,3415.0,87.853,25.262,0.00211,62.655,45.21,0.304
115,2018-12-06,3756.0,99.984,28.909,0.00219,75.136,50.714,0.335
116,2018-12-05,3900.0,107.517,30.632,0.00223,82.037,54.71,0.346
117,2018-12-04,3981.0,110.908,31.647,0.0022,86.287,56.744,0.356
118,2018-12-03,4004.0,112.055,32.099,0.00218,88.563,56.913,0.361
119,2018-12-02,4192.0,117.759,34.141,0.00223,94.106,60.102,0.369
120,2018-12-01,4140.0,116.635,33.277,0.00222,94.347,59.511,0.372
121,2018-11-30,4129.0,115.711,32.698,0.00219,93.549,59.174,0.36
122,2018-11-29,4271.0,119.394,34.262,0.00222,97.293,62.134,0.381
123,2018-11-28,4118.0,117.631,33.449,0.00218,95.7,61.416,0.386
124,2018-11-27,3776.0,107.211,30.071,0.00205,88.873,54.484,0.35
125,2018-11-26,3933.0,113.082,30.75,0.00216,90.931,56.782,0.354
126,2018-11-25,3850.0,110.624,29.174,0.0022,88.904,56.611,0.351
127,2018-11-24,4310.0,122.893,32.021,0.00236,100.73,65.663,0.403
128,2018-11-23,4325.0,123.4,32.01,0.00235,99.986,65.126,0.409
129,2018-11-22,4541.0,133.841,34.12,0.00242,110.655,68.976,0.44
130,2018-11-21,4528.0,134.412,33.511,0.00231,109.613,68.279,0.437
131,2018-11-20,4632.0,139.783,34.638,0.00231,106.618,69.772,0.451
132,2018-11-19,5285.0,160.029,38.619,0.00254,119.695,80.343,0.475
133,2018-11-18,5633.0,177.237,42.659,0.0026,135.083,90.161,0.519
134,2018-11-17,5571.0,174.96,42.065,0.00264,134.506,87.013,0.479
135,2018-11-16,5612.0,178.525,43.18,0.00278,138.607,88.309,0.474
136,2018-11-15,5605.0,178.889,43.135,0.00267,138.054,88.301,0.448
137,2018-11-14,6158.0,197.907,47.72,0.00282,155.331,99.991,0.497
138,2018-11-13,6405.0,209.794,50.656,0.00303,162.783,105.514,0.518
139,2018-11-12,6426.0,211.986,51.024,0.00309,163.809,106.621,0.521
140,2018-11-11,6411.0,211.684,51.546,0.00321,160.914,104.371,0.502
141,2018-11-10,6424.0,212.522,52.357,0.00322,161.66,106.432,0.506
142,2018-11-09,6429.0,211.482,52.293,0.00321,163.123,107.383,0.499
143,2018-11-08,6503.0,215.126,53.529,0.00349,169.647,110.537,0.512
144,2018-11-07,6547.0,219.677,54.964,0.00366,167.255,111.672,0.529
145,2018-11-06,6454.0,213.392,54.504,0.00369,168.378,112.395,0.529
146,2018-11-05,6451.0,209.288,53.63,0.00367,165.994,111.407,0.465
147,2018-11-04,6414.0,204.127,52.981,0.00375,159.846,108.636,0.455
148,2018-11-03,6385.0,200.281,51.193,0.00379,155.309,105.776,0.456
149,2018-11-02,6410.0,200.748,51.234,0.00381,154.757,105.481,0.46
150,2018-11-01,6361.0,198.251,50.056,0.00379,153.282,103.929,0.453
151,2018-10-31,6330.0,196.904,49.485,0.00384,154.324,104.064,0.442
152,2018-10-30,6331.0,196.55,49.252,0.00389,153.037,102.355,0.445
153,2018-10-29,6406.0,200.635,50.61,0.00393,153.57,103.213,0.442
154,2018-10-28,6483.0,204.054,52.036,0.00412,155.625,103.544,0.458
155,2018-10-27,6491.0,203.71,52.259,0.0042,155.99,105.007,0.455
