,date,open,high,low,close,volume,marketcap
0,2019-03-30,4092.14,4296.81,4053.91,4106.66,9732688060,72355190645
1,2019-03-29,4068.3,4113.5,4034.1,4098.37,10918665557,72202088875
2,2019-03-28,4087.58,4094.9,4040.27,4069.11,9353915899,71678998915
3,2019-03-27,3984.24,4087.07,3977.81,4087.07,10897131934,71987847571
4,2019-03-26,3969.23,3985.08,3944.75,3985.08,10707678815,70184147203
5,2019-03-25,4024.11,4038.84,3934.03,3963.07,10359818883,69789872373
6,2019-03-24,4035.16,4040.7,4006.19,4022.17,9144851065,70823042992
7,2019-03-23,4022.71,4049.88,4015.96,4035.83,9578850549,71056017910
8,2019-03-22,4028.51,4053.91,4021.54,4023.97,9252935969,70840048102
9,2019-03-21,4083.95,4097.36,4005.15,4029.33,10831212662,70926226882
10,2019-03-20,4070.79,4089.46,4031.11,4087.48,10175916388,71942444088
11,2019-03-19,4032.69,4082.22,4023.81,4071.19,9344919956,71647703828
12,2019-03-18,4029.97,4071.56,4009.12,4032.51,9646954186,70958165407
13,2019-03-17,4047.72,4054.12,4006.41,4025.23,8221625400,70821939585
14,2019-03-16,3963.9,4077.04,3961.66,4048.73,9856166973,71227967573
15,2019-03-15,3926.66,3968.54,3914.02,3960.91,9394210605,69675002377
16,2019-03-14,3905.58,3946.5,3901.3,3924.37,10480789570,69024696307
17,2019-03-13,3913.05,3926.6,3891.9,3906.72,9469184841,68706700381
18,2019-03-12,3903.76,3926.89,3863.56,3909.16,9809887079,68743000581
19,2019-03-11,3953.74,3966.38,3889.24,3905.23,10125901903,68666928025
20,2019-03-10,3966.17,3966.17,3924.38,3951.6,9713267607,69475297370
21,2019-03-09,3894.55,3987.24,3892.39,3963.31,10796103518,69674508655
22,2019-03-08,3913.23,3950.43,3875.23,3901.13,10638638944,68574579320
23,2019-03-07,3903.38,3939.37,3894.11,3911.48,9584165519,68749421311
24,2019-03-06,3897.08,3919.51,3871.46,3903.94,9175291529,68609885776
25,2019-03-05,3759.83,3903.92,3745.18,3896.38,10174126415,68470655400
26,2019-03-04,3845.09,3867.38,3733.75,3761.56,9029175788,66094551587
27,2019-03-03,3862.27,3875.48,3836.91,3847.18,7253558152,67592376373
28,2019-03-02,3855.32,3874.61,3832.13,3864.42,7578786076,67888255371
29,2019-03-01,3853.76,3907.8,3851.69,3859.58,7661247975,67796965743
30,2019-02-28,3848.26,3906.06,3845.82,3854.79,8399767798,67704774107
31,2019-02-27,3857.48,3888.8,3787.06,3851.05,8301309684,67631949500
32,2019-02-26,3878.7,3891.58,3837.99,3854.36,7931218996,67683296223
33,2019-02-25,3807.0,3913.71,3807.0,3882.7,9318796067,68173204651
34,2019-02-24,4145.46,4210.64,3793.71,3810.43,10794227451,66897483404
