date,bitcoin,cryptocurrency,Ethereum,BTC,ETH,isPartial
2017-06-04,12,1,4,3,1,False
2017-06-11,13,2,7,4,2,False
2017-06-18,11,1,5,3,2,False
2017-06-25,11,1,5,3,1,False
2017-07-02,9,1,3,3,1,False
2017-07-09,10,1,4,3,1,False
2017-07-16,12,1,4,4,1,False
2017-07-23,11,1,3,3,1,False
2017-07-30,15,1,2,4,1,False
2017-08-06,14,1,3,4,1,False
2017-08-13,20,2,3,5,1,False
2017-08-20,16,2,3,4,1,False
2017-08-27,17,2,3,5,1,False
2017-09-03,18,2,3,4,1,False
2017-09-10,21,2,3,5,1,False
2017-09-17,15,1,2,4,1,False
2017-09-24,13,1,2,3,1,False
2017-10-01,12,1,2,3,1,False
2017-10-08,19,2,2,4,1,False
2017-10-15,20,2,3,4,1,False
2017-10-22,21,2,2,4,1,False
2017-10-29,28,2,3,5,1,False
2017-11-05,29,2,3,6,1,False
2017-11-12,31,2,3,6,1,False
2017-11-19,28,2,4,5,1,False
2017-11-26,65,4,7,10,2,False
2017-12-03,90,6,7,14,2,False
2017-12-10,85,9,10,13,2,False
2017-12-17,100,10,8,16,2,False
2017-12-24,63,8,5,12,2,False
2017-12-31,46,10,7,11,3,False
2018-01-07,45,10,9,10,3,False
2018-01-14,57,10,8,10,3,False
2018-01-21,38,6,5,7,2,False
2018-01-28,40,6,5,7,2,False
2018-02-04,47,6,4,9,2,False
2018-02-11,27,4,3,6,1,False
2018-02-18,24,3,3,5,1,False
2018-02-25,19,3,2,4,1,False
2018-03-04,19,3,2,4,1,False
2018-03-11,19,3,2,4,1,False
2018-03-18,18,2,2,4,1,False
2018-03-25,18,2,2,3,1,False
2018-04-01,17,2,2,3,1,False
2018-04-08,16,2,2,3,1,False
2018-04-15,14,2,2,3,1,False
2018-04-22,14,2,2,4,1,False
2018-04-29,12,2,2,3,1,False
2018-05-06,13,2,2,3,1,False
2018-05-13,11,2,1,3,1,False
2018-05-20,11,2,1,3,1,False
2018-05-27,11,1,1,3,1,False
2018-06-03,9,1,1,3,1,False
2018-06-10,12,2,1,3,1,False
2018-06-17,10,1,1,3,1,False
2018-06-24,11,1,1,3,1,False
2018-07-01,10,1,1,3,1,False
2018-07-08,9,1,1,2,1,False
2018-07-15,11,1,1,3,1,False
2018-07-22,12,1,1,3,1,False
2018-07-29,10,1,1,3,1,False
2018-08-05,11,1,1,3,1,False
2018-08-12,11,1,2,3,1,False
2018-08-19,10,1,1,3,1,False
2018-08-26,10,1,1,3,1,False
2018-09-02,11,1,1,3,1,False
2018-09-09,10,1,1,3,1,False
2018-09-16,9,1,1,3,1,False
2018-09-23,8,1,1,3,1,False
2018-09-30,8,1,1,3,1,False
2018-10-07,8,1,1,3,1,False
2018-10-14,8,1,1,3,1,False
2018-10-21,8,1,1,3,1,False
2018-10-28,8,1,1,2,1,False
2018-11-04,8,1,1,2,1,False
2018-11-11,10,1,1,3,1,False
2018-11-18,14,1,1,3,1,False
2018-11-25,14,1,1,3,1,False
2018-12-02,11,1,1,3,1,False
2018-12-09,11,1,1,3,1,False
2018-12-16,11,1,1,3,1,False
2018-12-23,10,1,1,3,1,False
2018-12-30,9,1,1,2,1,False
2019-01-06,9,1,1,2,1,False
2019-01-13,8,1,1,2,1,False
2019-01-20,7,1,1,2,1,False
2019-01-27,7,1,1,2,1,False
2019-02-03,8,1,1,2,1,False
2019-02-10,7,1,1,2,1,False
2019-02-17,8,1,1,2,1,False
2019-02-24,8,1,1,2,1,False
2019-03-03,7,1,1,2,1,False
2019-03-10,7,1,1,2,1,False
2019-03-17,7,1,1,2,1,False
2019-03-24,7,1,1,2,1,True
