Symbol,Week,Open,High,Low,Close,Volume
LTC,2016-01-31,3.45799491,3.60366702,2.90221769,3.05491139,7521454.27932000
LTC,2015-12-31,3.59383451,4.01189864,3.28374093,3.45968280,9582250.77577000
LTC,2015-11-30,3.58626554,5.04560611,2.92240736,3.59344950,15737066.05870000
LTC,2015-10-31,2.99238392,4.05708455,2.93742769,3.57648116,8126928.05656000
LTC,2015-09-30,3.14671550,3.18292864,2.56807149,2.99570261,8383077.97699000
LTC,2015-08-31,4.71112898,4.72485799,2.57192602,3.11281271,18147452.36890000
LTC,2015-07-31,4.09402247,8.75889219,3.26322183,4.71871081,36024496.91190000
LTC,2015-06-30,1.63775723,4.34199657,1.58771346,4.09983185,24019455.19650000
LTC,2015-05-31,1.43780819,1.90494523,1.38154882,1.63741429,14822298.37010000
LTC,2015-04-30,1.65094663,1.71586301,1.30214945,1.43560799,18936932.16350000
LTC,2015-03-31,1.83942320,2.08577354,1.60935602,1.65211987,24105889.53820000
LTC,2015-02-28,1.86175236,2.03612311,1.67180781,1.84673790,23917318.10900000
LTC,2015-01-31,2.72122185,2.72122185,1.11444581,1.86381750,40712852.04880000
LTC,2014-12-31,3.57945571,3.77084549,2.66540020,2.71996392,18049776.43780000
LTC,2014-11-30,3.75836319,4.37283845,3.47289912,3.58544107,19263675.19810000
LTC,2014-10-31,4.44717189,4.46142369,3.41002921,3.75570446,16310336.21970000
LTC,2014-09-30,4.84691154,5.51826815,4.01994873,4.44613149,5840476.71103000
LTC,2014-08-31,7.49286198,7.78357915,3.46656791,4.82917984,11260902.85750000
LTC,2014-07-31,8.90910657,9.33548944,6.74230434,7.49900150,4640337.32808000
LTC,2014-06-30,10.87607218,11.59779188,8.69300677,8.90782821,3107640.26966000
LTC,2014-05-31,10.86487295,11.81508157,9.83177657,10.81284440,4683786.48121000
BCH,2019-04-03,175.40502716,339.31813600,173.27963453,295.59571909,2529167.12158000
BCH,2019-03-31,134.32495262,180.35395618,125.10686605,175.40844366,10650084.47690000
BCH,2019-02-28,116.57453784,160.27877229,113.89741879,134.34843914,8417403.37514000
BCH,2019-01-31,154.97353121,176.74564052,110.15984928,116.49302919,6088576.57435000
BCH,2018-12-31,172.63275622,230.40369561,75.30864248,155.07635467,5459640.83264000
BCH,2018-11-30,423.85619207,641.48933146,162.49827759,172.89810932,3469092.53265000
BCH,2018-10-31,532.26214932,547.36651645,411.22130826,423.40123497,2133421.96785000
BCH,2018-09-30,541.49863793,655.10710033,412.69099007,530.11581008,3490757.09111000
BCH,2018-08-31,778.69749267,778.69749267,482.26989505,542.66521329,1806942.39909000
BCH,2018-07-31,748.18494119,887.38607380,672.26234620,778.82242886,2116465.38920000
BCH,2018-06-30,998.39266162,1205.46324610,654.87215384,748.38705210,2384221.25671000
BCH,2018-05-31,1350.80146131,1835.11795371,879.66059745,997.22805350,2882671.06747000
BCH,2018-04-30,689.19030762,1568.26102937,610.66307343,1348.51913629,2607728.82065000
BCH,2018-03-31,1205.17696642,1295.66486718,676.23944819,688.51826409,1658080.80517000
BCH,2018-02-28,1494.36305178,1621.65339473,764.67773413,1205.05815900,2011519.00523000
BCH,2018-01-31,2384.91107373,2953.68150926,1356.41004728,1486.68273921,2082111.03877000
BCH,2017-12-31,1322.92621769,4102.05400523,1151.69201830,2384.72048538,3609623.35180000
BCH,2017-11-30,437.63361225,2670.29738554,435.60060727,1339.22790221,6892517.44129000
BCH,2017-10-31,436.87431625,515.39639139,285.85952600,436.67804727,2392917.33511000
BCH,2017-09-30,594.62595483,716.63510828,305.10835480,435.87376239,1549932.12724000
ETC,2019-04-03,4.72748332,5.89478552,4.72632991,5.49884038,9429161.68670000
ETC,2019-03-31,4.23974946,4.98856366,4.01914388,4.72749075,63542377.71420000
ETC,2019-02-28,3.91159687,4.97936832,3.67088083,4.23680466,55180359.80810000
ETC,2019-01-31,5.10199990,5.54795342,3.81145819,3.91046946,32986283.16240000
ETC,2018-12-31,4.62998118,5.76429914,3.36783779,5.09697591,57103134.12310000
ETC,2018-11-30,9.04191176,9.98474046,4.25418951,4.62406791,38012755.87290000
ETC,2018-10-31,11.31282930,11.34332545,8.79274595,9.04551858,20641754.83670000
ETC,2018-09-30,12.74661806,14.44406760,10.06032672,11.30919009,31465708.50650000
ETC,2018-08-31,16.19454107,20.66439706,10.26423523,12.75439579,47553419.14590000
ETC,2018-07-31,16.15827006,18.89143430,15.56628507,16.23799202,22580927.30540000
ETC,2018-06-30,15.26786365,17.82832127,12.19999238,16.16972637,42460357.02470000
ETC,2018-05-31,21.79370656,25.68842424,14.20861967,15.34438079,25335432.58980000
ETC,2018-04-30,14.41741340,22.82533969,13.03192342,21.51481633,26416982.57920000
ETC,2018-03-31,33.37207740,34.79071879,13.87889970,14.40171963,38921268.50460000
ETC,2018-02-28,28.78646908,42.77153348,14.12712931,33.19335799,38514018.16250000
ETC,2018-01-31,26.15821327,46.75970210,22.32217306,28.67215237,37467675.69700000
ETC,2017-12-31,26.00835009,42.85267206,21.13912552,26.13276402,41552100.57310000
ETC,2017-11-30,10.53031936,32.68307091,9.55648106,26.22725805,38271476.83040000
ETC,2017-10-31,13.23507963,13.25009707,9.62528717,10.55493044,7750869.79805000
ETC,2017-09-30,16.80502981,24.00471061,8.71453034,13.23576053,20648064.81810000
ETC,2017-08-31,13.81107040,16.89613520,13.13220267,16.86451698,8081864.94292000
ETC,2017-07-31,17.15648764,19.52943611,12.54672961,13.79151971,11474847.47340000
ETC,2017-06-30,16.19184684,23.36249688,13.45851443,17.21261794,14637677.45120000
ETC,2017-05-31,6.76627038,21.83966029,5.29598391,16.22094998,30566076.80990000
ETC,2017-04-30,2.81443903,6.96346884,2.46749844,6.96346884,18054829.24060000
ETC,2017-03-31,1.23081688,2.99390314,1.22434145,2.82556475,20676908.43840000
ETC,2017-02-28,1.35418260,1.50754859,1.16875950,1.23081708,5134071.74843000
ETC,2017-01-31,1.41474924,1.80248396,1.13209081,1.35418262,5585944.90872000
ETC,2016-12-31,0.74353810,1.62012794,0.73164375,1.41476927,5945141.57591000
ETC,2016-11-30,0.90021245,1.06691264,0.71888865,0.74353810,2566157.22965000
ETC,2016-10-31,1.26366300,1.26426525,0.87740578,0.90021116,4070241.02333000
ETC,2016-09-30,1.18238215,1.54793327,1.13078805,1.26366300,7685865.64374000
