Symbol,Week,Open,High,Low,Close,Volume
DJIA,2019-04-04,26075.0996,26390.0293,10000.0000,26368.4297,909183460
DJIA,2019-03-29,26019.6699,26155.9805,25208.0000,25928.6797,6734060000
DJIA,2019-02-28,25025.3105,26241.4199,24883.0391,25916.0000,5434540000
DJIA,2019-01-31,23058.6094,25109.6191,22638.4102,24999.6699,7189200000
DJIA,2018-12-31,25779.5703,25980.2109,21712.5293,23327.4609,8101540000
DJIA,2018-11-30,25142.0801,26277.8203,24268.7402,25538.4609,7226940000
DJIA,2018-10-31,26598.3594,26951.8105,24122.2305,25115.7598,8373350000
DJIA,2018-09-28,25916.0703,26769.1602,25754.3203,26458.3105,5262500000
DJIA,2018-08-31,25461.6309,26167.9395,24965.7695,25964.8203,5635410000
DJIA,2018-07-31,24161.5293,25587.2402,24077.5605,25415.1895,5408500000
DJIA,2018-06-29,24542.0898,25402.8301,23997.2109,24271.4102,7411110000
DJIA,2018-05-31,24117.2891,25086.4902,23531.3105,24415.8398,7278020000
DJIA,2018-04-30,24076.5996,24858.9707,23344.5195,24163.1504,8064550000
DJIA,2018-03-29,25024.0391,25449.1504,23509.0605,24103.1094,8873040000
DJIA,2018-02-28,26083.0391,26306.6992,23360.2891,25029.1992,9450250000
DJIA,2018-01-31,24809.3496,26616.7109,24741.6992,26149.3906,9116920000
DJIA,2017-12-29,24305.4004,24876.0703,23921.9004,24719.2207,6589890000
DJIA,2017-11-30,23442.9004,24327.8203,23242.7500,24272.3496,7335640000
DJIA,2017-10-31,22423.4707,23485.2500,22416.0000,23377.2402,7302910000
DJIA,2017-09-29,21981.7695,22419.5098,21709.6309,22405.0898,6342130000
DJIA,2017-08-31,21961.4199,22179.1094,21600.3398,21948.0996,6150060000
DJIA,2017-07-31,21392.3008,21929.8008,21279.3008,21891.1191,5569720000
DJIA,2017-06-30,21030.5508,21535.0293,20994.2207,21349.6309,7214590000
DJIA,2017-05-31,20962.7305,21112.3203,20553.4492,21008.6504,6613570000
DJIA,2017-04-28,20665.1699,21070.9004,20379.5508,20940.5098,5392630000
DJIA,2017-03-31,20957.2891,21169.1094,20412.8008,20663.2207,6941970000
DJIA,2017-02-28,19923.8105,20851.3301,19831.0898,20812.2402,6185580000
DJIA,2017-01-31,19872.8594,20125.5801,19677.9395,19864.0898,6482450000
DJIA,2016-12-30,19149.1992,19987.6309,19138.7891,19762.5996,5952470000
DJIA,2016-11-30,18158.2402,19225.2891,17883.5605,19123.5801,2107770000
DJIA,2016-10-31,18279.5996,18399.9609,17959.9492,18142.4199,1793690000
DJIA,2016-09-30,18396.5703,18551.5391,17992.2109,18308.1504,2101120000
DJIA,2016-08-31,18434.5000,18722.6094,18247.7891,18400.8809,1695750000
DJIA,2016-07-29,17924.2402,18622.0098,17713.4492,18432.2402,1816520000
DJIA,2016-06-30,17754.5508,18016.0000,17063.0801,17929.9902,2350020000
DJIA,2016-05-31,17783.7793,17934.6094,17331.0703,17787.1992,1879010000
DJIA,2016-04-29,17661.7402,18167.6309,17484.2305,17773.6406,2096650000
DJIA,2016-03-31,16545.6699,17790.1094,16545.6699,17685.0898,2407750000
DJIA,2016-02-29,16453.6309,16795.9805,15503.0098,16516.5000,2491810000
DJIA,2016-01-29,17405.4805,17405.4805,15450.5596,16466.3008,2844080000
DJIA,2015-12-31,17719.7207,17901.5801,17116.7305,17425.0293,2521440000
DJIA,2015-11-30,17672.6191,17977.8496,17210.4297,17719.9199,2334610000
DJIA,2015-10-30,16278.6201,17799.9609,16013.6602,17663.5391,2605470000
DJIA,2015-09-30,16528.0293,16933.4297,15942.3701,16284.7002,2724080000
DJIA,2015-08-31,17696.7402,17704.7598,15370.3301,16528.0293,2726340000
DJIA,2015-07-31,17638.1191,18137.1191,17399.1699,17689.8594,2034220000
DJIA,2015-06-30,18017.8203,18188.8105,17576.5000,17619.5098,2219240000
DJIA,2015-05-29,17859.2695,18351.3594,17733.1191,18010.6797,1832450000
DJIA,2015-04-30,17778.5195,18175.5605,17585.0098,17840.5195,2174880000
DJIA,2015-03-31,18134.0508,18288.6309,17579.2695,17776.1191,2470480000
DJIA,2015-02-27,17169.9902,18244.3809,17037.7598,18132.6992,1751250000
DJIA,2015-01-30,17823.0703,17951.7793,17136.3008,17164.9492,2173260000
DJIA,2014-12-31,17827.2695,18103.4492,17067.5898,17823.0703,2216900000
DJIA,2014-11-28,17390.9004,17894.8301,17278.3594,17828.2402,1516490000
DJIA,2014-10-31,17040.4609,17395.5391,15855.1201,17390.5195,2903240000
DJIA,2014-09-30,17097.4199,17350.6406,16934.4297,17042.9004,1870550000
DJIA,2014-08-29,16561.6992,17153.8008,16333.7803,17098.4492,1482600000
DJIA,2014-07-31,16828.5293,17151.5605,16563.3008,16563.3008,1690880000
DJIA,2014-06-30,16716.8496,16978.0195,16673.6504,16826.5996,1755480000
DJIA,2014-05-30,16580.2598,16735.5098,16341.2998,16717.1699,1643160000
DJIA,2014-04-30,16458.0508,16631.6309,16015.3203,16580.8398,1986960000
DJIA,2014-03-31,16321.7100,16505.6992,16046.9902,16457.6602,2095940000
DJIA,2014-02-28,15697.6904,16398.9492,15340.6904,16321.7100,2067820000
DJIA,2014-01-31,16572.1699,16573.0703,15617.5498,15698.8496,2177040000
DJIA,2013-12-31,16087.1201,16588.2500,15703.7900,16576.6602,2057160000
DJIA,2013-11-29,15558.0098,16174.5098,15522.1797,16086.4102,1820260000
DJIA,2013-10-31,15132.4902,15721.0000,14719.4297,15545.7500,2206620000
DJIA,2013-09-30,14801.5498,15709.5801,14777.4805,15129.6699,2371540000
DJIA,2013-08-30,15503.8496,15658.4297,14760.4102,14810.3096,2327660000
DJIA,2013-07-31,14911.5996,15634.3203,14858.9297,15499.5400,2623130000
DJIA,2013-06-28,15123.5498,15340.0898,14551.2695,14909.5996,2929040000
